crossover_type,population_size,m,k,d,optimum,generations,evaluations,time,best_fitness,is_optimal
Uniform,80,4,5,0.8,4,3353,268320,10.000971794128418,3.2,False
Uniform,100,4,5,0.2,4,2840,284100,10.000778913497925,2.8000000000000003,False
Uniform,100,4,5,0.8,4,2520,252100,10.00309157371521,2.0999999999999996,False
Uniform,100,4,5,0.2,4,2520,252100,10.002568483352661,3.0,False
Uniform,100,4,5,0.8,4,3001,300200,10.001819372177124,2.25,False
Uniform,100,4,5,0.2,4,15,1600,0.09455013275146484,2.6,False
Uniform,100,4,5,0.8,4,2947,294800,10.00145173072815,2.2,False
Uniform,100,4,5,0.2,4,2516,251700,10.004143238067627,3.2,False
Uniform,100,4,5,0.8,4,2323,232400,10.00101613998413,2.25,False
Uniform,100,4,5,0.2,4,1729,173000,10.00188684463501,2.8000000000000003,False
Uniform,100,4,5,0.8,4,1965,196600,10.001234531402588,2.25,False
Uniform,100,4,5,0.2,4,2025,202600,10.008030414581299,3.2,False
Uniform,100,4,5,0.8,4,2593,259400,10.001958131790161,2.25,False
Uniform,100,4,5,0.2,4,2900,290100,10.002830266952515,2.8000000000000003,False
Uniform,100,4,5,0.8,4,2550,255100,10.004060745239258,2.15,False
Uniform,100,4,5,0.2,4,2763,276400,10.003228187561035,2.8,False
Uniform,100,4,5,0.8,4,813,81400,2.817652702331543,2.2,False
Uniform,100,4,5,0.2,4,2370,237100,10.002664566040039,3.0,False
Uniform,100,4,5,0.8,4,2523,252400,10.00182819366455,2.3000000000000003,False
Uniform,100,4,5,0.2,4,2537,253800,10.002411603927612,2.8000000000000003,False
Uniform,100,4,5,0.8,4,2837,283800,10.001802206039429,3.15,False
Uniform,20,8,5,0.2,8,11,240,0.01999354362487793,4.4,False
Uniform,20,8,5,0.8,8,9,200,0.027134418487548828,2.3,False
Uniform,20,8,5,0.2,8,10,220,0.018874406814575195,4.800000000000001,False
Uniform,20,8,5,0.8,8,11,240,0.034760236740112305,2.5,False
Uniform,20,8,5,0.2,8,9,200,0.034322261810302734,4.0,False
Uniform,20,8,5,0.8,8,12,260,0.029211044311523438,1.75,False
Uniform,20,8,5,0.2,8,15,320,0.031987667083740234,4.600000000000001,False
Uniform,20,8,5,0.8,8,10,220,0.023575544357299805,1.8499999999999996,False
Uniform,20,8,5,0.2,8,6,140,0.013026714324951172,4.4,False
Uniform,20,8,5,0.8,8,9,200,0.022351980209350586,3.25,False
Uniform,20,8,5,0.2,8,34,700,0.06945562362670898,4.800000000000001,False
Uniform,20,8,5,0.8,8,7,160,0.010581731796264648,2.45,False
Uniform,20,8,5,0.2,8,8,180,0.01322031021118164,4.800000000000001,False
Uniform,20,8,5,0.8,8,6,140,0.025298357009887695,2.3999999999999995,False
Uniform,20,8,5,0.2,8,7,160,0.01517629623413086,4.800000000000001,False
Uniform,20,8,5,0.8,8,12,260,0.03175687789916992,2.6999999999999997,False
Uniform,20,8,5,0.2,8,14,300,0.032119035720825195,4.600000000000001,False
Uniform,20,8,5,0.8,8,15,320,0.03127408027648926,2.7,False
Uniform,20,8,5,0.2,8,17,360,0.043534040451049805,4.2,False
Uniform,20,8,5,0.8,8,16,340,0.033057212829589844,1.9,False
Uniform,40,8,5,0.2,8,83,3360,0.23721981048583984,4.4,False
Uniform,40,8,5,0.8,8,21,880,0.08130621910095215,2.55,False
Uniform,40,8,5,0.2,8,193,7760,0.5207180976867676,4.6,False
Uniform,40,8,5,0.8,8,61,2480,0.19907855987548828,2.55,False
Uniform,40,8,5,0.2,8,12,520,0.03196430206298828,4.4,False
Uniform,40,8,5,0.8,8,24,1000,0.11272907257080078,2.5,False
Uniform,40,8,5,0.2,8,45,1840,0.1354074478149414,5.0,False
Uniform,40,8,5,0.8,8,18,760,0.058664560317993164,3.3499999999999996,False
Uniform,40,8,5,0.2,8,16,680,0.06749606132507324,4.2,False
Uniform,40,8,5,0.8,8,23,960,0.09333348274230957,3.4,False
Uniform,40,8,5,0.2,8,136,5480,0.4376227855682373,4.4,False
Uniform,40,8,5,0.8,8,47,1920,0.16641545295715332,2.6,False
Uniform,40,8,5,0.2,8,48,1960,0.16334795951843262,4.8,False
Uniform,40,8,5,0.8,8,43,1760,0.1281261444091797,2.5,False
Uniform,40,8,5,0.2,8,17,720,0.058704376220703125,5.0,False
Uniform,40,8,5,0.8,8,14,600,0.059326887130737305,2.5500000000000003,False
Uniform,40,8,5,0.2,8,41,1680,0.1359703540802002,5.200000000000001,False
